Date	Rating	Rounds
15-May-2004	1028	68
15-Feb-2004	1031	68
15-Dec-2003	1031	68
15-Sep-2003	1032	65
15-Jul-2003	1034	72
15-May-2003	1033	62
15-Mar-2003	1031	62
31-Dec-2002	1033	62
30-Sep-2002	1031	60
28-Jul-2002	1027	56
27-May-2002	1025	57
31-Mar-2002	1026	51
16-Dec-2001	1019	43
26-Aug-2001	1017	30
1-Jul-2001	1010	31
29-Apr-2001	1008	25
27-Aug-2000	1002	38
25-Jun-2000	1006	29
30-Apr-2000	1004	49
31-Oct-1999	1007	53
29-Aug-1999	1004	54
27-Jun-1999	1005	69
25-Apr-1999	1004	59
15-Nov-1998	1001	41
8-Aug-1998	1004	29
13-Mar-2018	1003	64
31-Jan-2018	998	64
12-Dec-2017	999	62
14-Nov-2017	1000	57
25-Oct-2017	998	55
26-Sep-2017	1002	61
22-Aug-2017	1008	66
25-Jul-2017	1009	68
27-Jun-2017	1008	65
23-May-2017	1009	72
26-Apr-2017	1010	63
28-Mar-2017	1017	70
24-Jan-2017	1019	68
15-Nov-2016	1019	73
18-Oct-2016	1018	76
20-Sep-2016	1017	82
16-Aug-2016	1012	73
19-Jul-2016	1014	76
21-Jun-2016	1015	69
17-May-2016	1016	65
19-Apr-2016	1013	61
22-Mar-2016	1011	55
17-Nov-2015	1012	56
20-Oct-2015	1013	53
30-Sep-2015	1013	48
1-Sep-2015	1003	44
28-Jul-2015	1009	45
23-Jun-2015	1006	41
26-May-2015	1007	39
27-Jan-2015	1006	51
16-Dec-2014	1007	47
28-Oct-2014	1011	51
30-Sep-2014	1010	46
26-Aug-2014	1014	42
27-May-2014	1015	54
15-Apr-2014	1019	60
18-Mar-2014	1019	57
19-Nov-2013	1022	67
22-Oct-2013	1018	67
1-Oct-2013	1021	68
13-Aug-2013	1021	70
2-Jul-2013	1024	66
21-May-2013	1025	71
23-Apr-2013	1023	66
26-Mar-2013	1022	68
13-Nov-2012	1023	56
23-Oct-2012	1023	52
18-Sep-2012	1025	57
14-Aug-2012	1022	51
3-Jul-2012	1020	44
15-May-2012	1021	36
23-Mar-2012	1021	24
24-Jan-2012	1025	21
25-Oct-2011	1024	23
13-Sep-2011	1018	16
26-Oct-2010	1017	46
31-Aug-2010	1018	51
20-Jul-2010	1015	42
22-Jun-2010	1015	40
4-May-2010	1018	27
26-Jan-2010	1015	23
15-Dec-2009	1018	19
20-Oct-2009	1016	16
15-Sep-2005	1027	50
15-Feb-2005	1026	96
15-Dec-2004	1026	92
15-Sep-2004	1025	97
15-Jul-2004	1025	97
15-May-2004	1027	92
15-Feb-2004	1023	107
15-Dec-2003	1023	107
15-Sep-2003	1022	104
15-Jul-2003	1024	108
15-May-2003	1022	114
15-Mar-2003	1024	105
31-Dec-2002	1025	105
30-Sep-2002	1023	106
28-Jul-2002	1024	102
27-May-2002	1022	102
